TXNAME	SYMBOL
NM_001354713.2	THRB
NM_001128176.3	THRB
NM_000461.5	THRB
NM_001354712.2	THRB
NM_001128177.2	THRB
NM_001252634.2	THRB
NM_001290216.2	RARB
NM_001290300.1	RARB
NM_000965.4	RARB
NM_001290276.1	RARB
NM_001290277.1	RARB
NM_016152.3	RARB
NM_001290266.1	RARB
NM_001290217.1	RARB
NM_001330700.1	TOP2B
NM_001068.3	TOP2B
NM_001145294.1	NGLY1
NM_001145295.1	NGLY1
NM_001145293.1	NGLY1
NM_018297.4	NGLY1
NM_001145391.1	OXSM
NM_017897.3	OXSM
NM_052953.3	LRRC3B
NM_001317808.1	LRRC3B
NM_001317809.1	LRRC3B
NM_001317810.1	LRRC3B
NM_001317811.1	LRRC3B
NM_152534.4	NEK10
NM_001031741.3	NEK10
NM_001304384.1	NEK10
NM_199347.4	NEK10
NM_001321106.2	SLC4A7
NM_001321107.2	SLC4A7
NM_001258379.2	SLC4A7
NM_001321105.2	SLC4A7
NM_001321104.2	SLC4A7
NM_001321108.2	SLC4A7
NM_001321103.2	SLC4A7
NM_001258380.2	SLC4A7
NM_003615.5	SLC4A7
NM_001278183.1	EOMES
NM_005442.4	EOMES
NM_001278182.2	EOMES
NM_001331187.2	CMC1
NM_001331185.2	CMC1
NM_001331189.2	CMC1
NM_001331186.2	CMC1
NM_182523.2	CMC1
NM_001331190.2	CMC1
NM_022461.5	AZI2
NM_001271650.2	AZI2
NM_001134433.2	AZI2
NM_001134432.2	AZI2
NM_001040432.4	ZCWPW2
NM_001324169.2	ZCWPW2
NM_001324170.2	ZCWPW2
NM_001003793.3	RBMS3
NM_001177711.2	RBMS3
NM_001003792.3	RBMS3
NM_001330696.1	RBMS3
NM_001177712.1	RBMS3
NM_014483.3	RBMS3
NM_001024847.2	TGFBR2
NM_003242.6	TGFBR2
NM_207359.2	GADL1
NM_178862.3	STT3B
NM_001174060.1	OSBPL10
NM_017784.4	OSBPL10
NM_001137674.3	ZNF860
NM_015141.3	GPD1L
NM_001320308.1	CMTM8
NM_178868.5	CMTM8
NM_138410.4	CMTM7
NM_181472.3	CMTM7
NM_017801.3	CMTM6
NM_001329135.1	DYNC1LI1
NM_016141.4	DYNC1LI1
NM_015442.3	CNOT10
NM_001256741.2	CNOT10
NM_001256742.1	CNOT10
NM_001039111.3	TRIM71
NM_005508.5	CCR4
NM_001135602.2	GLB1
NM_001317040.1	GLB1
NM_001079811.2	GLB1
NM_000404.4	GLB1
NM_001136238.2	TMPPE
NM_001039770.3	TMPPE
NM_006371.5	CRTAP
NM_015551.2	SUSD5
NM_001349319.1	FBXL2
NM_001349323.1	FBXL2
NM_001349326.2	FBXL2
NM_001349321.2	FBXL2
NM_001349325.2	FBXL2
NM_001349322.2	FBXL2
NM_001349320.2	FBXL2
NM_001349324.2	FBXL2
NM_001349316.2	FBXL2
NM_012157.5	FBXL2
NM_001128161.1	UBP1
NM_014517.5	UBP1
NM_001128160.1	UBP1
NM_001365634.1	CLASP2
NM_001365630.1	CLASP2
NM_001365632.1	CLASP2
NM_001365631.1	CLASP2
NM_001365627.1	CLASP2
NM_001365629.1	CLASP2
NM_001365633.1	CLASP2
NM_015097.3	CLASP2
NM_001365628.1	CLASP2
NM_001207044.2	CLASP2
NM_001162429.2	PDCD6IP
NM_001256192.1	PDCD6IP
NM_013374.6	PDCD6IP
NM_001267616.2	ARPP21
NM_001267617.1	ARPP21
NM_016300.4	ARPP21
NM_001267618.2	ARPP21
NM_001025069.1	ARPP21
NM_001025068.1	ARPP21
NM_001267619.1	ARPP21
NM_198399.2	ARPP21
NM_003149.2	STAC
NM_001292049.1	STAC
NM_033403.1	DCLK3
NM_014831.3	TRANK1
NM_001329998.2	TRANK1
NM_014805.4	EPM2AIP1
NM_001354619.1	MLH1
NM_001258274.2	MLH1
NM_001354618.1	MLH1
NM_001354622.1	MLH1
NM_001354627.1	MLH1
NM_001354621.1	MLH1
NM_001167619.2	MLH1
NM_001167617.2	MLH1
NM_001167618.2	MLH1
NM_001354623.1	MLH1
NM_000249.3	MLH1
NM_001354628.1	MLH1
NM_001258271.1	MLH1
NM_001354630.1	MLH1
NM_001354624.1	MLH1
NM_001354615.1	MLH1
NM_001354629.1	MLH1
NM_001354617.1	MLH1
NM_001354626.1	MLH1
NM_001354616.1	MLH1
NM_001354620.1	MLH1
NM_001354625.1	MLH1
NM_001258273.1	MLH1
NM_017724.2	LRRFIP2
NM_001348308.1	LRRFIP2
NM_001348304.1	LRRFIP2
NM_001134369.2	LRRFIP2
NM_001348305.1	LRRFIP2
NM_001348301.1	LRRFIP2
NM_001348299.1	LRRFIP2
NM_001348297.1	LRRFIP2
NM_001348298.1	LRRFIP2
NM_001348311.1	LRRFIP2
NM_001348309.1	LRRFIP2
NM_001348310.1	LRRFIP2
NM_001348306.1	LRRFIP2
NM_001348302.1	LRRFIP2
NM_001348303.1	LRRFIP2
NM_001348300.1	LRRFIP2
NM_001282691.1	LRRFIP2
NM_001348307.1	LRRFIP2
NM_006309.4	LRRFIP2
NM_001172713.2	GOLGA4
NM_002078.5	GOLGA4
NM_178344.2	C3orf35
NM_178339.2	C3orf35
NM_178342.2	C3orf35
NM_001302832.1	C3orf35
NM_001302831.1	C3orf35
NM_002207.3	ITGA9
NM_001008392.2	CTDSPL
NM_005808.3	CTDSPL
NM_015873.3	VILL
NM_001370264.1	VILL
NM_001370265.1	VILL
NM_006225.4	PLCD1
NM_001130964.2	PLCD1
NM_007337.3	DLEC1
NM_001321153.2	DLEC1
NM_007335.4	DLEC1
NM_001130410.1	ACAA1
NM_001607.4	ACAA1
NM_001172567.2	MYD88
NM_002468.5	MYD88
NM_001365876.1	MYD88
NM_001172569.3	MYD88
NM_001172568.2	MYD88
NM_001365877.1	MYD88
NM_001172566.2	MYD88
NM_005109.3	OXSR1
NM_004256.4	SLC22A13
NM_001320033.1	SLC22A14
NM_004803.4	SLC22A14
NM_001349179.1	XYLB
NM_001349178.2	XYLB
NM_005108.4	XYLB
NM_001349180.2	XYLB
NM_001106.4	ACVR2B
NM_001145464.1	EXOG
NM_005107.4	EXOG
NM_001354701.2	SCN5A
NM_001160160.2	SCN5A
NM_001160161.1	SCN5A
NM_000335.4	SCN5A
NM_198056.2	SCN5A
NM_001099405.1	SCN5A
NM_001099404.1	SCN5A
NM_001293307.2	SCN10A
NM_001293306.2	SCN10A
NM_006514.3	SCN10A
NM_001349253.2	SCN11A
NM_014139.2	SCN11A
NM_001346225.2	WDR48
NM_020839.4	WDR48
NM_001346227.2	WDR48
NM_001303403.2	WDR48
NM_001346226.2	WDR48
NM_001303402.2	WDR48
NM_001346228.1	WDR48
NM_031899.3	GORASP1
NM_001278790.2	GORASP1
NM_001278789.2	GORASP1
NM_145755.2	TTC21A
NM_001105513.2	TTC21A
NM_001366899.1	TTC21A
NM_001366900.1	TTC21A
NM_001320559.1	CSRNP1
NM_001320560.2	CSRNP1
NM_033027.4	CSRNP1
NM_001351377.2	XIRP1
NM_001198621.4	XIRP1
NM_194293.4	XIRP1
NM_001171174.1	CX3CR1
NM_001171171.1	CX3CR1
NM_001171172.1	CX3CR1
NM_001337.4	CX3CR1
NM_005201.4	CCR8
NM_017875.4	SLC25A38
NM_001354798.2	SLC25A38
NM_001304288.2	RPSA
NM_002295.6	RPSA
NM_001278322.2	MOBP
NM_182935.4	MOBP
NM_001278323.1	MOBP
NM_001284423.1	MYRIP
NM_015460.4	MYRIP
NM_001284424.2	MYRIP
NM_001284425.1	MYRIP
NM_001284426.1	MYRIP
NM_005875.3	EIF1B
NM_001291960.2	ENTPD3
NM_001248.4	ENTPD3
NM_001291961.2	ENTPD3
NM_001034996.3	RPL14
NM_003973.5	RPL14
NM_001145082.3	ZNF619
NM_001145094.2	ZNF619
NM_001145083.2	ZNF619
NM_001363277.2	ZNF619
NM_173656.5	ZNF619
NM_001145093.4	ZNF619
NM_175888.4	ZNF620
NM_001256167.1	ZNF620
NM_001256168.1	ZNF620
NM_001287245.1	ZNF621
NM_198484.5	ZNF621
NM_001098414.3	ZNF621
NM_001330729.2	CTNNB1
NM_001904.4	CTNNB1
NM_001098209.2	CTNNB1
NM_001098210.2	CTNNB1
NM_001322501.2	ULK4
NM_017886.4	ULK4
NM_001322500.2	ULK4
NM_001349245.1	TRAK1
NM_001349247.2	TRAK1
NM_001042646.3	TRAK1
NM_001349246.2	TRAK1
NM_001265608.2	TRAK1
NM_001349249.1	TRAK1
NM_001349248.1	TRAK1
NM_001265609.1	TRAK1
NM_001265610.1	TRAK1
NM_014965.5	TRAK1
NM_001174138.2	CCK
NM_000729.6	CCK
NM_001304386.2	LYZL4
NM_144634.4	LYZL4
NM_001251882.1	VIPR1
NM_001251884.1	VIPR1
NM_001251883.1	VIPR1
NM_001251885.1	VIPR1
NM_004624.4	VIPR1
NM_001201572.2	SEC22C
NM_001201584.2	SEC22C
NM_004206.4	SEC22C
NM_032970.4	SEC22C
NM_016305.3	SS18L2
NM_001370300.1	SS18L2
NM_001349125.2	NKTR
NM_001349126.2	NKTR
NM_001349124.2	NKTR
NM_005385.4	NKTR
NM_145166.4	ZBTB47
NM_152393.4	KLHL40
NM_020707.4	HHATL
NM_144719.4	CCDC13
NM_014056.3	HIGD1A
NM_001099669.1	HIGD1A
NM_001099668.1	HIGD1A
NM_001296.5	ACKR2
NM_004391.3	CYP8B1
NM_001134656.2	ZNF662
NM_207404.4	ZNF662
NM_001205272.1	KRBOX1
NM_001129908.3	GASK1A
NM_032806.6	POMGNT2
NM_001100594.1	SNRK
NM_001330750.1	SNRK
NM_017719.5	SNRK
NM_018075.5	ANO10
NM_001346469.1	ANO10
NM_001346468.1	ANO10
NM_001204833.2	ANO10
NM_001204832.2	ANO10
NM_001204834.2	ANO10
NM_001346465.1	ANO10
NM_001204831.2	ANO10
NM_001346463.1	ANO10
NM_001346464.1	ANO10
NM_001346466.1	ANO10
NM_001346467.1	ANO10
NM_001365650.1	ABHD5
NM_001355186.2	ABHD5
NM_016006.6	ABHD5
NM_001365649.1	ABHD5
NM_001145030.2	TOPAZ1
NM_001029840.2	TCAIM
NM_001282913.2	TCAIM
NM_001282915.2	TCAIM
NM_001029839.2	TCAIM
NM_173826.4	TCAIM
NM_001282914.2	TCAIM
NM_001351480.2	C3orf86
NM_001351479.1	C3orf86
NM_001369454.1	ZNF445
NM_181489.6	ZNF445
NM_001287349.2	ZNF852
NM_025169.3	ZKSCAN7
NM_001288591.2	ZKSCAN7
NM_001288592.2	ZKSCAN7
NM_018651.4	ZKSCAN7
NM_001288590.2	ZKSCAN7
NM_001351733.2	ZNF660-ZNF197
NM_001351735.2	ZNF660-ZNF197
NM_001351732.2	ZNF660-ZNF197
NM_001351734.2	ZNF660-ZNF197
NM_173658.4	ZNF660
NM_001323293.2	ZNF197
NM_001024855.3	ZNF197
NM_001323295.2	ZNF197
NM_006991.5	ZNF197
NM_001323294.2	ZNF197
NM_001323296.2	ZNF197
NM_003420.4	ZNF35
NM_033210.4	ZNF502
NM_001134441.1	ZNF502
NM_001282880.1	ZNF502
NM_001134440.1	ZNF502
NM_001134442.2	ZNF502
NM_145044.3	ZNF501
NM_001258280.2	ZNF501
NM_020696.4	KIAA1143
NM_001320334.2	KIAA1143
NM_020242.3	KIF15
NM_144638.3	TMEM42
NM_003241.4	TGM4
NM_001349377.2	ZDHHC3
NM_001135179.2	ZDHHC3
NM_001349376.2	ZDHHC3
NM_016598.3	ZDHHC3
NM_001349379.2	ZDHHC3
NM_001349378.2	ZDHHC3
NM_001330761.2	ZDHHC3
NM_001349381.2	ZDHHC3
NM_001349380.2	ZDHHC3
NM_015004.4	EXOSC7
NM_003278.3	CLEC3B
NM_001308394.2	CLEC3B
NM_022842.5	CDCP1
NM_178181.2	CDCP1
NM_015444.3	TMEM158
NM_015340.4	LARS2
NM_001368263.1	LARS2
NM_014240.3	LIMD1
NM_001319073.2	SACM1L
NM_014016.5	SACM1L
NM_001319071.2	SACM1L
NM_001319072.2	SACM1L
NM_022405.4	SLC6A20
NM_020208.4	SLC6A20
NM_001276379.1	LZTFL1
NM_001276378.1	LZTFL1
NM_020347.4	LZTFL1
NM_001256369.1	CCR9
NM_031200.3	CCR9
NM_006641.4	CCR9
NM_024513.4	FYCO1
NM_006564.2	CXCR6
NM_001024644.2	XCR1
NM_005283.3	XCR1
NM_001295.3	CCR1
NM_178328.1	CCR3
NM_001837.4	CCR3
NM_001164680.2	CCR3
NM_178329.3	CCR3
NM_001123041.2	CCR2
NM_001123396.3	CCR2
NM_000579.3	CCR5
NM_001100168.1	CCR5
NM_003965.5	CCRL2
NM_001130910.2	CCRL2
NM_001321121.2	LTF
NM_002343.6	LTF
NM_001199149.2	LTF
NM_001321122.1	LTF
NM_031440.2	RTP3
NM_024512.5	LRRC2
NM_001174136.2	TDGF1
NM_003212.4	TDGF1
NM_001195442.2	FAM240A
NM_147129.5	ALS2CL
NM_001190707.2	ALS2CL
NM_001370524.1	TMIE
NM_001370525.1	TMIE
NM_147196.2	TMIE
NM_013270.5	PRSS50
NM_000258.3	MYL3
NM_000316.3	PTH1R
NM_001184744.1	PTH1R
NM_144716.5	CCDC12
NM_001277074.1	CCDC12
NM_015175.3	NBEAL2
NM_001365116.2	NBEAL2
NM_001349370.2	SETD2
NM_014159.6	SETD2
NM_182902.3	KIF9
NM_022342.5	KIF9
NM_001134878.2	KIF9
NM_025010.5	KLHL18
NM_015466.4	PTPN23
NM_001304482.2	PTPN23
NM_001320044.2	SCAP
NM_012235.4	SCAP
NM_001031703.3	ELP6
NM_001363957.1	ELP6
NM_001206942.1	CSPG5
NM_001206945.1	CSPG5
NM_001206944.1	CSPG5
NM_006574.4	CSPG5
NM_001206943.2	CSPG5
NM_003074.4	SMARCC1
NM_001330990.1	DHX30
NM_014966.3	DHX30
NM_138615.3	DHX30
NM_001134364.2	MAP4
NM_002375.5	MAP4
NM_030885.4	MAP4
NM_201567.2	CDC25A
NM_001789.3	CDC25A
NM_004345.5	CAMP
NM_016089.3	ZNF589
NM_001308434.1	NME6
NM_001308435.1	NME6
NM_001308431.1	NME6
NM_001308426.1	NME6
NM_001308430.1	NME6
NM_005793.4	NME6
NM_001308433.1	NME6
NM_001308428.1	NME6
NM_001308427.1	NME6
NM_001080525.2	SPINK8
NM_001159927.1	FBXW12
NM_207102.2	FBXW12
NM_001159929.1	FBXW12
NM_001130082.3	PLXNB1
NM_002673.5	PLXNB1
NM_001256969.3	CCDC51
NM_001256968.3	CCDC51
NM_024661.5	CCDC51
NM_001256967.3	CCDC51
NM_001256966.3	CCDC51
NM_001256965.3	CCDC51
NM_001256964.2	CCDC51
NM_015933.6	TMA7
NM_001329417.2	TMA7
NM_001271022.1	ATRIP
NM_130384.3	ATRIP
NM_032166.4	ATRIP
NM_001271023.2	ATRIP
NM_007248.5	TREX1
NM_033629.6	TREX1
NM_001272066.1	SHISA5
NM_001272067.1	SHISA5
NM_001272065.1	SHISA5
NM_016479.4	SHISA5
NM_001272068.1	SHISA5
NM_001272082.2	SHISA5
NM_001272083.2	SHISA5
NM_001317136.2	PFKFB4
NM_001317135.2	PFKFB4
NM_001317137.2	PFKFB4
NM_004567.4	PFKFB4
NM_001317138.2	PFKFB4
NM_001317134.2	PFKFB4
NM_033199.4	UCN2
NM_000094.3	COL7A1
NM_003365.3	UQCRC1
NM_001008269.3	TMEM89
NM_001281733.2	SLC26A6
NM_001281732.2	SLC26A6
NM_134263.3	SLC26A6
NM_022911.3	SLC26A6
NM_134426.3	SLC26A6
NM_001040454.1	SLC26A6
NM_001407.3	CELSR3
NM_184231.3	NCKIPSD
NM_016453.4	NCKIPSD
NM_001005909.2	IP6K2
NM_016291.4	IP6K2
NM_001146178.2	IP6K2
NM_001190317.1	IP6K2
NM_001190316.1	IP6K2
NM_001005911.3	IP6K2
NM_001146179.3	IP6K2
NM_001005910.3	IP6K2
NM_001321989.2	PRKAR2A
NM_001321983.2	PRKAR2A
NM_001321982.2	PRKAR2A
NM_004157.4	PRKAR2A
NM_000387.6	SLC25A20
NM_001349210.2	ARIH2
NM_001349220.2	ARIH2
NM_001349225.2	ARIH2
NM_001349213.2	ARIH2
NM_001317333.2	ARIH2
NM_001349223.2	ARIH2
NM_001349216.2	ARIH2
NM_001349217.2	ARIH2
NM_001349214.2	ARIH2
NM_001349215.2	ARIH2
NM_006321.4	ARIH2
NM_001349227.2	ARIH2
NM_001349221.2	ARIH2
NM_001349224.2	ARIH2
NM_001349212.2	ARIH2
NM_001349222.2	ARIH2
NM_001349219.2	ARIH2
NM_001349209.2	ARIH2
NM_001349218.2	ARIH2
NM_001349211.2	ARIH2
NM_001349226.2	ARIH2
NM_001317334.2	ARIH2
NM_001349230.2	ARIH2
NM_001349228.2	ARIH2
NM_001349229.2	ARIH2
NM_177938.2	P4HTM
NM_177939.3	P4HTM
NM_001320546.2	WDR6
NM_018031.6	WDR6
NM_001320547.1	WDR6
NM_018114.5	DALRD3
NM_001276405.1	DALRD3
NM_001009996.3	DALRD3
NM_199074.1	NDUFAF3
NM_199073.1	NDUFAF3
NM_199070.1	NDUFAF3
NM_199069.2	NDUFAF3
NM_000884.3	IMPDH2
NM_001320584.1	QRICH1
NM_001320585.1	QRICH1
NM_017730.3	QRICH1
NM_198880.3	QRICH1
NM_001320583.1	QRICH1
NM_001320580.1	QRICH1
NM_001320582.1	QRICH1
NM_001320581.1	QRICH1
NM_001272073.2	QARS1
NM_005051.3	QARS1
NM_001351102.1	USP19
NM_001351108.1	USP19
NM_001351107.1	USP19
NM_001351098.1	USP19
NM_001199162.1	USP19
NM_001351106.1	USP19
NM_001351103.1	USP19
NM_001351104.1	USP19
NM_001351099.1	USP19
NM_001199161.1	USP19
NM_001351101.1	USP19
NM_006677.2	USP19
NM_001351100.1	USP19
NM_001351105.1	USP19
NM_001199160.1	USP19
NM_002292.4	LAMB2
NM_022903.4	CCDC71
NM_173546.3	KLHDC8B
NM_001080528.3	C3orf84
NM_178173.3	CCDC36
NM_001135197.2	CCDC36
NM_198562.3	C3orf62
NM_199443.3	USP4
NM_003363.4	USP4
NM_001251877.2	USP4
NM_001329455.1	GPX1
NM_000581.4	GPX1
NM_001329503.2	GPX1
NM_001329502.2	GPX1
NM_201397.3	GPX1
NM_001313945.2	RHOA
NM_001313944.2	RHOA
NM_001313946.2	RHOA
NM_001313947.2	RHOA
NM_001664.4	RHOA
NM_001313943.2	RHOA
NM_001313941.2	RHOA
NM_022171.2	TCTA
NM_001164711.2	AMT
NM_001164710.2	AMT
NM_001164712.2	AMT
NM_000481.4	AMT
NM_032316.3	NICN1
NM_001177643.2	DAG1
NM_001177644.2	DAG1
NM_001177634.2	DAG1
NM_001177640.2	DAG1
NM_001177642.2	DAG1
NM_001177636.2	DAG1
NM_001165928.3	DAG1
NM_001177637.2	DAG1
NM_001177638.2	DAG1
NM_001177641.2	DAG1
NM_001177635.2	DAG1
NM_001177639.2	DAG1
NM_004393.6	DAG1
NM_003458.4	BSN
NM_001640.4	APEH
NM_020998.3	MST1
NM_022064.5	RNF123
NM_198722.3	AMIGO3
NM_021971.4	GMPPB
NM_013334.3	GMPPB
NM_153273.4	IP6K1
NM_001006115.2	IP6K1
NM_001242829.1	IP6K1
NM_001007540.4	CDHR4
NM_203370.2	INKA1
NM_001366281.1	INKA1
NM_003335.3	UBA7
NM_005879.3	TRAIP
NM_001320147.2	CAMKV
NM_024046.5	CAMKV
NM_001244937.3	MST1R
NM_002447.4	MST1R
NM_001318913.1	MST1R
NM_001142501.1	MON1A
NM_032355.3	MON1A
NM_001349192.2	RBM6
NM_001349193.2	RBM6
NM_005777.3	RBM6
NM_001349191.2	RBM6
NM_001349190.2	RBM6
NM_001349194.2	RBM6
NM_001167582.2	RBM6
NM_005778.4	RBM5
NM_001318798.2	SEMA3F
NM_004186.5	SEMA3F
NM_001318800.1	SEMA3F
NM_144499.3	GNAT1
NM_000172.4	GNAT1
NM_006841.6	SLC38A3
NM_001282619.2	GNAI2
NM_001282620.2	GNAI2
NM_001282617.1	GNAI2
NM_002070.4	GNAI2
NM_001282618.2	GNAI2
NM_001166425.2	GNAI2
NM_004636.3	SEMA3B
NM_001005914.2	SEMA3B
NM_001290060.2	SEMA3B
NM_001290061.1	SEMA3B
NM_001290062.1	SEMA3B
NM_001290063.1	SEMA3B
NM_153215.3	LSMEM2
NM_001304385.2	LSMEM2
NM_006764.4	IFRD2
NM_001200032.2	HYAL3
NM_001200032.2	HYAL3
NM_001200031.2	HYAL3
NM_001200031.2	HYAL3
NM_001200030.2	HYAL3
NM_003549.4	HYAL3
NM_001200029.2	HYAL3
NM_012191.4	NAA80
NM_012191.4	NAA80
NM_001200016.2	NAA80
NM_001200018.2	NAA80
NM_153281.1	HYAL1
NM_153285.3	HYAL1
NM_153283.3	HYAL1
NM_153282.3	HYAL1
NM_033159.4	HYAL1
NM_033158.4	HYAL2
NM_003773.5	HYAL2
NM_007275.2	TUSC2
NM_001206957.1	RASSF1
NM_007182.5	RASSF1
NM_170714.2	RASSF1
NM_170712.3	RASSF1
NM_170713.3	RASSF1
NM_001308379.2	ZMYND10
NM_015896.4	ZMYND10
NM_006545.5	NPRL2
NM_007022.5	CYB561D2
NM_001291284.2	CYB561D2
NM_007024.5	TMEM115
NM_001291101.1	CACNA2D2
NM_006030.4	CACNA2D2
NM_001005505.3	CACNA2D2
NM_001174051.3	CACNA2D2
NM_001171741.2	C3orf18
NM_001171743.3	C3orf18
NM_001171740.3	C3orf18
NM_016210.5	C3orf18
NM_001317851.1	HEMK1
NM_016173.5	HEMK1
NM_145071.3	CISH
NM_013324.6	CISH
NM_001243926.1	MAPKAPK3
NM_004635.4	MAPKAPK3
NM_001243925.2	MAPKAPK3
NM_004947.5	DOCK3
NM_006010.6	MANF
NM_013286.5	RBM15B
NM_014703.3	DCAF1
NM_001171904.1	DCAF1
NM_001349171.2	DCAF1
NM_001349170.2	DCAF1
NM_001349168.2	DCAF1
NM_001349169.2	DCAF1
NM_001322253.2	RAD54L2
NM_015106.4	RAD54L2
NM_001322256.2	RAD54L2
NM_001322257.1	RAD54L2
NM_001278195.1	TEX264
NM_001129884.2	TEX264
NM_001243727.2	TEX264
NM_001243725.2	TEX264
NM_001243726.2	TEX264
NM_015926.6	TEX264
NM_001349117.2	GRM2
NM_000839.5	GRM2
NM_001349116.2	GRM2
NM_001368368.1	IQCF6
NM_001143833.4	IQCF6
NM_001368369.1	IQCF6
NM_001085479.3	IQCF3
NM_001207023.2	IQCF3
NM_203424.2	IQCF2
NM_001145059.2	IQCF5
NM_152397.3	IQCF1
NM_004704.5	RRP9
NM_005485.5	PARP3
NM_001003931.3	PARP3
NM_001370240.1	PARP3
NM_001370239.1	PARP3
NM_080865.4	GPR62
NM_001363885.1	PCBP4
NM_033010.2	PCBP4
NM_033008.3	PCBP4
NM_001174100.2	PCBP4
NM_020418.4	PCBP4
NM_001254753.1	ABHD14B
NM_001146314.1	ABHD14B
NM_032750.2	ABHD14B
NM_001316331.2	ABHD14A-ACY1
NM_015407.5	ABHD14A
NM_000666.3	ACY1
NM_001198897.2	ACY1
NM_001198896.2	ACY1
NM_001198898.2	ACY1
NM_001198895.2	ACY1
NM_000992.3	RPL29
NM_001947.4	DUSP7
NM_001161580.2	POC1A
NM_015426.5	POC1A
NM_001161581.2	POC1A
NM_001304444.1	ALAS1
NM_199166.2	ALAS1
NM_001304443.1	ALAS1
NM_000688.6	ALAS1
NM_017442.3	TLR9
NM_007284.4	TWF2
NM_144641.4	PPM1M
NM_001122870.3	PPM1M
NM_025222.4	WDR82
NM_001144951.1	GLYCTK
NM_145262.4	GLYCTK
NM_015512.5	DNAH1
NM_004656.4	BAP1
NM_001321127.2	PHF7
NM_016483.7	PHF7
NM_001278221.3	PHF7
NM_001321126.2	PHF7
NM_020163.3	SEMA3G
NM_003280.3	TNNC1
NM_007184.4	NISCH
NM_001276293.2	NISCH
NM_001276294.2	NISCH
NM_015136.3	STAB1
NM_022908.3	NT5DC2
NM_001134231.2	NT5DC2
NM_001124767.2	SMIM4
NM_018313.5	PBRM1
NM_001350075.2	PBRM1
NM_001366076.2	PBRM1
NM_001366073.2	PBRM1
NM_001366072.2	PBRM1
NM_001366071.2	PBRM1
NM_001366075.2	PBRM1
NM_001366070.2	PBRM1
NM_181042.5	PBRM1
NM_001366074.2	PBRM1
NM_001350079.2	PBRM1
NM_001350076.2	PBRM1
NM_001350078.2	PBRM1
NM_001350074.2	PBRM1
NM_001350077.2	PBRM1
NM_206825.1	GNL3
NM_206826.1	GNL3
NM_014366.5	GNL3
NM_001278281.1	GLT8D1
NM_018446.3	GLT8D1
NM_001278280.1	GLT8D1
NM_001010983.2	GLT8D1
NM_152932.2	GLT8D1
NM_014041.5	SPCS1
NM_001348414.2	NEK4
NM_001348412.2	NEK4
NM_003157.6	NEK4
NM_001193533.2	NEK4
NM_001348413.2	NEK4
NM_002215.4	ITIH1
NM_001166434.3	ITIH1
NM_001166435.2	ITIH1
NM_001166436.2	ITIH1
NM_002217.3	ITIH3
NM_002218.5	ITIH4
NM_001166449.1	ITIH4
NM_001198974.3	STIMATE-MUSTN1
NM_205853.4	MUSTN1
NM_198563.3	STIMATE
NM_016329.4	SFMBT1
NM_052859.4	RFT1
NM_001354680.2	PRKCD
NM_006254.4	PRKCD
NM_001354679.2	PRKCD
NM_212539.2	PRKCD
NM_001316327.2	PRKCD
NM_001354676.2	PRKCD
NM_001354678.2	PRKCD
NM_001135055.2	TKT
NM_001064.4	TKT
NM_001258028.1	TKT
NM_001290207.2	DCP1A
NM_001290206.2	DCP1A
NM_001290204.2	DCP1A
NM_018403.7	DCP1A
NM_001290205.2	DCP1A
NM_001128840.3	CACNA1D
NM_001128839.3	CACNA1D
NM_000720.4	CACNA1D
NM_018397.5	CHDH
NM_018725.4	IL17RB
NM_022899.5	ACTR8
NM_021237.5	SELENOK
NM_018398.3	CACNA2D3
NM_001304389.2	LRTM1
NM_020678.4	LRTM1
NM_003392.4	WNT5A
NM_001256105.1	WNT5A
NM_015576.3	ERC2
NM_001353160.1	CCDC66
NM_001353153.1	CCDC66
NM_001353152.1	CCDC66
NM_001353158.1	CCDC66
NM_001353156.1	CCDC66
NM_001353147.1	CCDC66
NM_001353148.1	CCDC66
NM_001353150.1	CCDC66
NM_001353154.1	CCDC66
NM_001353149.1	CCDC66
NM_001353155.1	CCDC66
NM_001353151.1	CCDC66
NM_001012506.5	CCDC66
NM_001141947.3	CCDC66
NM_001365638.2	TASOR
NM_001365636.2	TASOR
NM_001365637.2	TASOR
NM_001365635.2	TASOR
NM_001112736.2	TASOR
NM_001363940.1	TASOR
NM_015224.3	TASOR
NM_001128615.2	ARHGEF3
NM_001289698.2	ARHGEF3
NM_019555.3	ARHGEF3
NM_001128616.2	ARHGEF3
NM_181727.2	SPATA12
NM_001318864.1	IL17RD
NM_017563.5	IL17RD
NM_003865.3	HESX1
NM_012096.3	APPL1
NM_001142733.3	ASB14
NM_130387.5	ASB14
NM_001366028.2	DNAH12
NM_198564.3	DNAH12
NM_001322176.2	PDE12
NM_177966.7	PDE12
NM_001322177.2	PDE12
NM_001660.4	ARF4
NM_152678.3	DENND6A
NM_001304420.2	SLMAP
NM_007159.4	SLMAP
NM_001304421.2	SLMAP
NM_001311178.1	SLMAP
NM_001311179.1	SLMAP
NM_001304422.3	SLMAP
NM_001304423.3	SLMAP
NM_001164317.2	FLNB
NM_001457.4	FLNB
NM_001164318.2	FLNB
NM_001164319.2	FLNB
NM_004944.4	DNASE1L3
NM_001256560.1	DNASE1L3
NM_020676.6	ABHD6
NM_001320126.2	ABHD6
NM_007042.5	RPP14
NM_001098783.2	RPP14
NM_001348712.1	HTD2
NM_001348713.1	HTD2
NM_001348714.1	HTD2
NM_001348715.1	HTD2
