TXNAME	SYMBOL
NM_001042663.2	PLEKHG5
NM_001265592.1	PLEKHG5
NM_020631.5	PLEKHG5
NM_001265594.2	PLEKHG5
NM_001042664.1	PLEKHG5
NM_001042665.1	PLEKHG5
NM_001265593.1	PLEKHG5
NM_024654.5	NOL9
NM_138697.4	TAS1R1
NM_177540.3	TAS1R1
NM_005341.4	ZBTB48
NM_001278648.2	ZBTB48
NM_001278647.2	ZBTB48
NM_014851.4	KLHL21
NM_001324309.2	KLHL21
NM_153812.3	PHF13
NM_001195753.1	THAP3
NM_138350.3	THAP3
NM_001195752.1	THAP3
NM_018198.4	DNAJC11
NM_001242701.1	CAMTA1
NM_015215.4	CAMTA1
NM_001349609.2	CAMTA1
NM_001349610.2	CAMTA1
NM_001349608.2	CAMTA1
NM_001349612.2	CAMTA1
NM_001349627.2	CAMTA1
NM_001195563.2	CAMTA1
NM_001349614.1	CAMTA1
NM_001349620.1	CAMTA1
NM_001349621.1	CAMTA1
NM_001349623.1	CAMTA1
NM_001349625.1	CAMTA1
NM_001349617.1	CAMTA1
NM_001349613.1	CAMTA1
NM_001349616.2	CAMTA1
NM_001349615.2	CAMTA1
NM_001349618.2	CAMTA1
NM_001349619.2	CAMTA1
NM_001349622.2	CAMTA1
NM_001349626.2	CAMTA1
NM_001349624.3	CAMTA1
NM_004781.4	VAMP3
NM_004781.4	VAMP3
NM_001289863.2	PER3
NM_001289864.2	PER3
NM_016831.3	PER3
NM_001289862.1	PER3
NM_001289861.1	PER3
NM_021995.2	UTS2
NM_006786.4	UTS2
NM_001561.6	TNFRSF9
NM_001123377.1	PARK7
NM_007262.5	PARK7
NM_018948.4	ERRFI1
NM_001080397.2	SLC45A1
NM_001042681.2	RERE
NM_012102.4	RERE
NM_001042682.2	RERE
NM_001428.5	ENO1
NM_001353346.3	ENO1
NM_001201483.4	ENO1
NM_001215.4	CA6
NM_001270501.2	CA6
NM_001270502.2	CA6
NM_001270500.2	CA6
NM_207420.2	SLC2A7
NM_001328619.2	SLC2A5
NM_001328621.2	SLC2A5
NM_001328620.2	SLC2A5
NM_003039.3	SLC2A5
NM_001135585.2	SLC2A5
NM_024980.5	GPR157
NM_004285.4	H6PD
NM_001282587.2	H6PD
NM_025106.4	SPSB1
NM_032315.3	SLC25A33
NM_001130924.3	TMEM201
NM_001010866.4	TMEM201
NM_005026.5	PIK3CD
NM_001350234.2	PIK3CD
NM_001350235.1	PIK3CD
NM_001009566.3	CLSTN1
NM_014944.4	CLSTN1
NM_001302883.1	CLSTN1
NM_001012329.2	CTNNBIP1
NM_020248.3	CTNNBIP1
NM_001316975.2	LZIC
NM_001316974.2	LZIC
NM_001316976.2	LZIC
NM_001316973.2	LZIC
NM_032368.5	LZIC
NM_001297778.1	NMNAT1
NM_022787.4	NMNAT1
NM_001297779.2	NMNAT1
NM_052960.3	RBP7
NM_001105562.3	UBE4B
NM_006048.5	UBE4B
NM_001365951.2	KIF1B
NM_183416.4	KIF1B
NM_015074.3	KIF1B
NM_001365952.1	KIF1B
NM_001365953.1	KIF1B
NM_001304452.2	PGD
NM_002631.4	PGD
NM_001304451.2	PGD
NM_001270517.2	CENPS-CORT
NM_198544.4	CENPS-CORT
NM_199006.3	CENPS-CORT
NM_001243768.2	CENPS-CORT
NM_199294.3	CENPS
NM_001302.5	CORT
NM_004401.3	DFFA
NM_213566.2	DFFA
NM_004565.3	PEX14
NM_001079843.3	CASZ1
NM_017766.5	CASZ1
NM_001170754.1	C1orf127
NM_001366227.1	C1orf127
NM_007375.3	TARDBP
NM_006610.4	MASP2
NM_139208.3	MASP2
NM_003132.3	SRM
NM_002685.4	EXOSC10
NM_001001998.3	EXOSC10
NM_004958.4	MTOR
NM_021146.4	ANGPTL7
NM_001330349.1	UBIAD1
NM_001330350.1	UBIAD1
NM_013319.2	UBIAD1
NM_020780.2	DISP3
NM_012168.6	FBXO2
NM_001304791.2	FBXO44
NM_183412.3	FBXO44
NM_001014765.1	FBXO44
NM_001304790.1	FBXO44
NM_001330355.1	FBXO44
NM_183413.2	FBXO44
NM_033182.7	FBXO44
NM_018438.6	FBXO6
NM_001127325.1	MAD2L2
NM_006341.4	MAD2L2
NM_198545.4	DRAXIN
NM_001040197.1	AGTRAP
NM_001040196.1	AGTRAP
NM_001040194.1	AGTRAP
NM_001040195.1	AGTRAP
NM_020350.5	AGTRAP
NM_001010881.2	C1orf167
NM_005957.5	MTHFR
NM_001330358.1	MTHFR
NM_001256959.1	CLCN6
NM_001286.4	CLCN6
NM_006172.4	NPPA
NM_002521.3	NPPB
NM_138346.3	KIAA2013
NM_001316320.2	PLOD1
NM_000302.4	PLOD1
NM_001127660.1	MFN2
NM_014874.4	MFN2
NM_021933.4	MIIP
NM_001243.5	TNFRSF8
NM_001281430.2	TNFRSF8
NM_001066.3	TNFRSF1B
NM_015378.4	VPS13D
NM_018156.4	VPS13D
NM_004753.7	DHRS3
NM_001319225.2	DHRS3
NM_001324370.2	DHRS3
NM_001013630.1	AADACL4
NM_001103170.3	AADACL3
NM_152290.4	C1orf158
NM_001330361.2	C1orf158
NM_001080830.4	PRAMEF12
NM_023013.4	PRAMEF1
NM_001294139.1	PRAMEF1
NM_001146344.3	PRAMEF11
NM_001013631.2	HNRNPCL1
NM_023014.1	PRAMEF2
NM_001009611.4	PRAMEF4
NM_001039361.4	PRAMEF10
NM_001012277.4	PRAMEF7
NM_001010889.2	PRAMEF6
NM_001099850.2	PRAMEF18
NM_001136561.3	HNRNPCL2
NM_001310134.1	PRAMEF25
NM_001013407.2	PRAMEF5
NM_001291381.1	PRAMEF33
NM_001291380.1	PRAMEF13
NM_001012276.3	PRAMEF8
NM_001098376.3	PRAMEF15
NM_001024661.2	PRAMEF14
NM_001099790.2	PRAMEF19
NM_001099851.3	PRAMEF17
NM_001099852.2	PRAMEF20
NM_001010847.2	LRRC38
NM_006474.4	PDPN
NM_198389.2	PDPN
NM_001006624.2	PDPN
NM_001006625.2	PDPN
NM_001135610.2	PRDM2
NM_012231.4	PRDM2
NM_015866.4	PRDM2
NM_001007257.3	PRDM2
NM_201628.3	KAZN
NM_001370230.1	KAZN
NM_015209.2	KAZN
NM_001370229.1	KAZN
NM_001018000.3	KAZN
NM_001370231.1	KAZN
NM_001018001.2	KAZN
NM_001017999.2	KAZN
NM_001136217.1	TMEM51
NM_001136216.2	TMEM51
NM_001136218.2	TMEM51
NM_001319665.2	TMEM51
NM_018022.3	TMEM51
NM_001278502.1	C1orf195
NM_001278501.1	C1orf195
NM_052929.2	FHAD1
NM_024329.6	EFHD2
NM_007272.3	CTRC
NM_033440.3	CELA2A
NM_015849.3	CELA2B
NM_032996.3	CASP9
NM_001278054.1	CASP9
NM_001229.5	CASP9
NM_001287811.1	DNAJC16
NM_015291.4	DNAJC16
NM_024758.5	AGMAT
NM_032341.5	DDI2
NM_006511.2	RSC1A1
NM_015164.4	PLEKHM2
NM_207348.3	SLC25A34
NM_001013641.3	TMEM82
NM_001350151.2	FBLIM1
NM_017556.4	FBLIM1
NM_001024216.3	FBLIM1
NM_001024215.1	FBLIM1
NM_001089591.1	UQCRHL
NM_015001.3	SPEN
NM_001324137.1	ZBTB17
NM_001242884.1	ZBTB17
NM_001287604.1	ZBTB17
NM_001324138.1	ZBTB17
NM_003443.2	ZBTB17
NM_001287603.1	ZBTB17
NM_178840.4	SRARP
NM_001349682.1	HSPB7
NM_001349685.1	HSPB7
NM_001349687.1	HSPB7
NM_001349686.1	HSPB7
NM_014424.4	HSPB7
NM_001349688.1	HSPB7
NM_001349683.1	HSPB7
NM_001349689.1	HSPB7
NM_004070.4	CLCNKA
NM_001042704.2	CLCNKA
NM_001257139.2	CLCNKA
NM_000085.5	CLCNKB
NM_001165945.2	CLCNKB
NM_182623.3	FAM131C
NM_001329090.2	EPHA2
NM_004431.5	EPHA2
NM_153213.5	ARHGEF19
NM_030907.4	CPLANE2
NM_018994.3	FBXO42
NM_001114600.3	SZRD1
NM_001271869.2	SZRD1
NM_001353349.1	SPATA21
NM_198546.1	SPATA21
NM_001145277.1	NECAP2
NM_001145278.1	NECAP2
NM_018090.5	NECAP2
NM_017940.6	NBPF1
NM_001271733.1	MST1L
NM_014675.5	CROCC
NM_001135247.1	MFAP2
NM_017459.2	MFAP2
NM_001135248.1	MFAP2
NM_002403.4	MFAP2
NM_001141974.3	ATP13A2
NM_001141973.3	ATP13A2
NM_022089.4	ATP13A2
NM_003000.3	SDHB
NM_007365.3	PADI2
NM_013358.3	PADI1
NM_016233.2	PADI3
NM_012387.3	PADI4
NM_207421.4	PADI6
NM_018715.4	RCC2
NM_001136204.3	RCC2
NM_018125.4	ARHGEF10L
NM_001011722.2	ARHGEF10L
NM_001319837.1	ARHGEF10L
NM_001319838.1	ARHGEF10L
NM_001328124.1	ARHGEF10L
NM_030812.3	ACTL8
NM_032880.5	IGSF21
NM_152375.2	KLHDC7A
NM_001135254.2	PAX7
NM_002584.3	PAX7
NM_013945.3	PAX7
NM_152232.2	TAS1R2
NM_001319218.1	ALDH4A1
NM_170726.3	ALDH4A1
NM_003748.4	ALDH4A1
NM_001161504.1	ALDH4A1
NM_001136265.2	IFFO2
NM_020765.3	UBR4
NM_001271429.2	EMC1
NM_001271427.2	EMC1
NM_001271428.2	EMC1
NM_015047.3	EMC1
NM_016183.4	MRTO4
NM_012067.3	AKR7A3
NM_001320979.1	AKR7A2
NM_003689.3	AKR7A2
NM_001040125.2	SLC66A1
NM_017765.3	SLC66A1
NM_001040126.2	SLC66A1
NM_001287531.2	SLC66A1
NM_004930.5	CAPZB
NM_001206540.3	CAPZB
NM_001206541.3	CAPZB
NM_001282162.2	CAPZB
NM_001313932.2	CAPZB
NM_001204082.1	MICOS10
NM_001204083.2	MICOS10
NM_001032363.4	MICOS10
NM_001204088.2	MICOS10-NBL1
NM_001204089.2	MICOS10-NBL1
NM_182744.3	NBL1
NM_001278164.1	NBL1
NM_001278165.1	NBL1
NM_001204084.2	NBL1
NM_005380.8	NBL1
NM_001204085.1	NBL1
NM_001204086.2	NBL1
NM_001278166.1	NBL1
NM_000871.3	HTR6
NM_001349112.2	TMCO4
NM_181719.6	TMCO4
NM_001349113.2	TMCO4
NM_001349114.2	TMCO4
NM_001349115.1	TMCO4
NM_019062.2	RNF186
NM_015207.2	OTUD3
NM_014589.3	PLA2G2E
NM_001161729.1	PLA2G2A
NM_001161728.2	PLA2G2A
NM_001161727.2	PLA2G2A
NM_000300.4	PLA2G2A
NM_000929.3	PLA2G5
NM_012400.4	PLA2G2D
NM_001271814.1	PLA2G2D
NM_022819.4	PLA2G2F
NM_001360869.2	PLA2G2F
NM_001316722.2	PLA2G2C
NM_001367969.1	PLA2G2C
NM_152376.5	UBXN10
NM_001039500.3	VWA5B1
NM_018584.6	CAMK2N1
NM_024544.3	MUL1
NM_207334.3	FAM43B
NM_001785.3	CDA
NM_032409.3	PINK1
NM_005216.4	DDOST
NM_001122819.3	KIF17
NM_020816.4	KIF17
NM_001287212.2	KIF17
NM_001103160.2	SH2D5
NM_001103161.2	SH2D5
NM_001372052.1	HP1BP3
NM_016287.5	HP1BP3
NM_001198801.2	EIF4G3
NM_001198802.2	EIF4G3
NM_003760.4	EIF4G3
NM_001198803.2	EIF4G3
NM_001113348.2	ECE1
NM_001397.3	ECE1
NM_001113349.2	ECE1
NM_001113347.2	ECE1
NM_001330381.2	NBPF3
NM_001256416.3	NBPF3
NM_032264.5	NBPF3
NM_001256417.3	NBPF3
NM_001369805.2	ALPL
NM_001369804.2	ALPL
NM_000478.6	ALPL
NM_001127501.4	ALPL
NM_001177520.3	ALPL
NM_001369803.2	ALPL
NM_002885.4	RAP1GAP
NM_001145657.3	RAP1GAP
NM_001330383.3	RAP1GAP
NM_001350528.2	RAP1GAP
NM_001350527.2	RAP1GAP
NM_001350525.2	RAP1GAP
NM_001350524.2	RAP1GAP
NM_001350526.2	RAP1GAP
NM_001145658.3	RAP1GAP
NM_001350164.2	USP48
NM_001350166.2	USP48
NM_001350167.2	USP48
NM_001350168.2	USP48
NM_032236.8	USP48
NM_001330394.2	USP48
NM_001032730.2	USP48
NM_001013693.3	LDLRAD2
NM_005529.7	HSPG2
NM_001291860.2	HSPG2
NM_007352.4	CELA3B
NM_005747.5	CELA3A
NM_001039802.2	CDC42
NM_001791.4	CDC42
NM_044472.3	CDC42
NM_030761.5	WNT4
NM_001083621.1	ZBTB40
NM_001330398.1	ZBTB40
NM_014870.4	ZBTB40
NM_020526.5	EPHA8
NM_001006943.3	EPHA8
NM_001347465.2	C1QA
NM_015991.4	C1QA
NM_001347466.1	C1QA
NM_001347619.2	C1QC
NM_001114101.3	C1QC
NM_172369.5	C1QC
NM_001347620.2	C1QC
NM_001371184.1	C1QB
NM_000491.5	C1QB
NM_004442.7	EPHB2
NM_017449.4	EPHB2
NM_001309193.2	EPHB2
NM_001309192.2	EPHB2
NM_001289974.2	LACTBL1
NM_001242521.2	TEX46
NM_001242521.2	TEX46
NM_001009999.3	KDM1A
NM_001363654.2	KDM1A
NM_015013.4	KDM1A
NM_001142546.1	LUZP1
NM_033631.4	LUZP1
NM_000864.4	HTR1D
NM_001297622.2	HNRNPR
NM_001297621.2	HNRNPR
NM_001102397.3	HNRNPR
NM_001102399.3	HNRNPR
NM_001297620.2	HNRNPR
NM_005826.5	HNRNPR
NM_001102398.3	HNRNPR
NM_001370652.1	ZNF436
NM_001077195.2	ZNF436
NM_030634.2	ZNF436
NM_003196.3	TCEA3
NM_001143778.2	ASAP3
NM_017707.4	ASAP3
NM_004091.4	E2F2
NM_002167.5	ID3
NM_001348075.2	MDS2
NM_001199802.1	RPL11
NM_000975.5	RPL11
NM_003198.2	ELOA
NM_020362.5	PITHD1
NM_007260.3	LYPLA2
NM_001008216.2	GALE
NM_000403.4	GALE
NM_001127621.2	GALE
NM_001166059.1	HMGCL
NM_000191.3	HMGCL
NM_000147.4	FUCA1
NM_001841.3	CNR2
NM_017761.4	PNRC2
NM_001191009.3	SRSF10
NM_001191007.3	SRSF10
NM_001300936.2	SRSF10
NM_001191005.3	SRSF10
NM_006625.6	SRSF10
NM_001191006.3	SRSF10
NM_001300937.2	SRSF10
NM_054016.4	SRSF10
NM_152372.4	MYOM3
NM_021258.4	IL22RA1
NM_173065.3	IFNLR1
NM_173064.3	IFNLR1
NM_170743.4	IFNLR1
NM_198174.3	GRHL3
NM_001195010.2	GRHL3
NM_198173.3	GRHL3
NM_021180.3	GRHL3
NM_001199012.1	STPG1
NM_001199013.2	STPG1
NM_178122.4	STPG1
NM_001199014.1	STPG1
NM_001322854.1	NIPAL3
NM_001322855.1	NIPAL3
NM_001322856.1	NIPAL3
NM_001322862.1	NIPAL3
NM_001322863.1	NIPAL3
NM_001322858.1	NIPAL3
NM_001322868.1	NIPAL3
NM_001322859.1	NIPAL3
NM_001322860.1	NIPAL3
NM_001322866.1	NIPAL3
NM_001322864.1	NIPAL3
NM_001322861.1	NIPAL3
NM_001330409.1	NIPAL3
NM_020448.5	NIPAL3
NM_001322865.2	NIPAL3
NM_001322857.1	NIPAL3
NM_001251979.2	RCAN3
NM_001251984.1	RCAN3
NM_013441.4	RCAN3
NM_001251977.2	RCAN3
NM_001251983.1	RCAN3
NM_001251981.1	RCAN3
NM_001251978.1	RCAN3
NM_001251980.1	RCAN3
NM_001251982.1	RCAN3
NM_001251985.1	RCAN3
NM_001010980.5	NCMAP
NM_001366568.1	SRRM1
NM_001366585.1	SRRM1
NM_001366573.1	SRRM1
