	Immune	Stromal	Cluster
T_BRCA1_1	0.0099	0.0039	A
T_BRCA1_2	0.0349	0.0042	A
T_BRCA1_3	0.0673	0.0012	A
T_BRCA1_4	0.0459	0.0014	A
T_BRCA1_5	0.0642	0	A
T_BRCA2_1	0.0496	0.0012	A
T_BRCA2_2	0.0124	0	A
T_BRCA2_4	0.0221	0.0072	A
T_BRCA2_5	0.0098	0	A
T_WT_2	0.0278	0.007	A
T_WT_3	0.0195	0	A
T_WT_5	0	0	A
T_WT_8	0.0143	0	A
T_WT_9	0.0581	0.0022	A
T_WT_10	0.0035	0.0059	A
T_WT_1	0.0005	0.1711	B
T_WT_4	0.0119	0.174	B
T_WT_6	0.0755	0.1602	B
T_WT_7	0.0109	0.1742	B
T_BRCA2_3	0.0083	0.2936	B
